id,depotId,cert_stock,cert_signal,cert_telecom,jobCards_count,jobCards_list,odometer,lastService,branding_status,branding_hoursRemaining,branding_totalHours,branding_endDate,cleaningSlot,crew_assigned,crew_driverId,crew_validUntil,override_flag,override_category,override_reason,override_by,serviceStatus,arrivalTime
KM015,Muttom,2027-09-24,2027-02-05,2026-07-17,3,"[{'title': 'Traction motor failure', 'priority': 'Medium'}, {'title': 'Passenger display malfunction', 'priority': 'Critical'}, {'title': 'Seat repairs', 'priority': 'Critical'}]",139379,2024-05-14,False,3,0,None,False,False,,,False,None,None,None,outOfService,None
KM016,Muttom,2026-05-24,2027-03-18,2024-12-01,4,"[{'title': 'Traction motor failure', 'priority': 'High'}, {'title': 'Door sensor fault', 'priority': 'Low'}, {'title': 'Seat repairs', 'priority': 'Low'}, {'title': 'Brake pad inspection', 'priority': 'Medium'}]",140449,2025-01-12,True,18,123,2026-08-14,True,False,,,True,Safety,Emergency Recall,Control Room,inService,11:23 PM
KM017,Muttom,2024-05-22,2027-12-07,2025-03-16,0,[],140301,2023-11-22,True,0,116,2025-12-21,True,False,,,False,None,None,None,maintenance,None
KM018,Muttom,2025-11-20,2025-12-19,2024-12-12,6,"[{'title': 'Seat repairs', 'priority': 'High'}, {'title': 'Door sensor fault', 'priority': 'High'}, {'title': 'Seat repairs', 'priority': 'Critical'}, {'title': 'HVAC failure', 'priority': 'Medium'}, {'title': 'Emergency braking system fault', 'priority': 'Low'}, {'title': 'Passenger display malfunction', 'priority': 'Medium'}]",148053,2024-11-23,False,15,0,None,False,False,,,True,Maintenance,Pre-Emptive Maintenance,Workshop Staff,standby,None
KM019,Muttom,2025-12-09,2026-10-22,2024-05-23,0,[],138294,2024-10-27,True,4,179,2026-03-21,True,True,CR002,22/09/26 0000,False,None,None,None,outOfService,None
KM020,Muttom,2027-01-01,2024-07-02,2026-03-08,0,[],135915,2023-10-31,True,13,58,2025-12-27,False,False,,,True,Operational,Special Event Demand,Workshop Staff,standby,None
KM021,Muttom,2026-06-01,2026-12-18,2025-05-02,4,"[{'title': 'Door sensor fault', 'priority': 'High'}, {'title': 'Brake pad inspection', 'priority': 'High'}, {'title': 'CCTV fault', 'priority': 'Critical'}, {'title': 'Battery replacement', 'priority': 'Critical'}]",131159,2024-10-07,True,2,173,2026-04-10,False,False,,,False,None,None,None,maintenance,None
KM022,Muttom,2024-11-08,2024-09-23,2024-06-04,2,"[{'title': 'HVAC failure', 'priority': 'Critical'}, {'title': 'Battery replacement', 'priority': 'High'}]",146784,2024-06-18,False,11,0,None,True,False,,,False,None,None,None,inService,11:10 PM
KM023,Muttom,2024-06-17,2025-09-13,2024-09-26,5,"[{'title': 'Brake pad inspection', 'priority': 'Critical'}, {'title': 'Traction motor failure', 'priority': 'Critical'}, {'title': 'CCTV fault', 'priority': 'Critical'}, {'title': 'Brake pad inspection', 'priority': 'Low'}, {'title': 'CCTV fault', 'priority': 'Critical'}]",122699,2024-08-08,False,10,0,None,True,False,,,True,Safety,Emergency Recall,Operations Manager,standby,None
KM024,Muttom,2024-10-04,2025-03-12,2026-02-20,5,"[{'title': 'Lighting faults', 'priority': 'Medium'}, {'title': 'Seat repairs', 'priority': 'Medium'}, {'title': 'Seat repairs', 'priority': 'High'}, {'title': 'Seat repairs', 'priority': 'Medium'}, {'title': 'Passenger display malfunction', 'priority': 'Low'}]",124700,2024-01-14,False,0,0,None,False,True,CR008,29/04/26 0000,False,None,None,None,standby,None
KM025,Muttom,2025-09-11,2027-08-03,2027-01-03,0,[],128742,2024-08-23,True,7,88,2026-08-14,False,False,,,False,None,None,None,maintenance,None
