id,depotId,cert_stock,cert_signal,cert_telecom,jobCards_count,jobCards_list,odometer,lastService,branding_status,branding_hoursRemaining,branding_totalHours,branding_endDate,cleaningSlot,crew_assigned,crew_driverId,crew_validUntil,override_flag,override_category,override_reason,override_by,serviceStatus,arrivalTime
KM012,Muttom,2025-05-28,2026-09-28,2024-12-24,6,"[{'title': 'CCTV fault', 'priority': 'Low'}, {'title': 'Brake pad inspection', 'priority': 'Low'}, {'title': 'Seat repairs', 'priority': 'Critical'}, {'title': 'Lighting faults', 'priority': 'Critical'}, {'title': 'Emergency braking system fault', 'priority': 'High'}, {'title': 'Emergency braking system fault', 'priority': 'High'}]",145801,2024-01-09,False,15,0,None,True,True,CR005,09/07/26 0000,False,None,None,None,inService,11:32 PM
KM013,Muttom,2025-06-06,2027-04-30,2024-09-19,2,"[{'title': 'CCTV fault', 'priority': 'Critical'}, {'title': 'Door sensor fault', 'priority': 'Critical'}]",123199,2023-10-12,False,0,0,None,True,True,CR027,24/09/26 0000,False,None,None,None,standby,None
KM014,Muttom,2026-04-20,2027-09-25,2024-10-08,4,"[{'title': 'CCTV fault', 'priority': 'High'}, {'title': 'Pantograph wear', 'priority': 'High'}, {'title': 'CCTV fault', 'priority': 'High'}, {'title': 'Lighting faults', 'priority': 'High'}]",126680,2023-10-13,True,14,187,2025-12-03,False,True,CR012,15/08/26 0000,False,None,None,None,inService,11:46 PM
KM015,Muttom,2025-08-05,2024-10-01,2026-08-13,6,"[{'title': 'Seat repairs', 'priority': 'Critical'}, {'title': 'Door sensor fault', 'priority': 'Medium'}, {'title': 'Emergency braking system fault', 'priority': 'Critical'}, {'title': 'Seat repairs', 'priority': 'High'}, {'title': 'Pantograph wear', 'priority': 'High'}, {'title': 'Seat repairs', 'priority': 'Low'}]",142983,2024-01-07,False,18,0,None,False,False,,,False,None,None,None,maintenance,None
KM016,Muttom,2026-01-19,2026-09-17,2025-07-04,0,[],132971,2024-03-24,True,13,133,2025-12-27,True,True,CR027,03/09/26 0000,False,None,None,None,outOfService,None
KM017,Muttom,2025-04-10,2027-06-27,2027-07-25,1,"[{'title': 'Traction motor failure', 'priority': 'Low'}]",154337,2023-09-15,False,18,0,None,True,False,,,False,None,None,None,standby,None
KM018,Muttom,2026-09-01,2025-05-17,2025-07-15,5,"[{'title': 'Door sensor fault', 'priority': 'Medium'}, {'title': 'Battery replacement', 'priority': 'Low'}, {'title': 'Brake pad inspection', 'priority': 'High'}, {'title': 'Pantograph wear', 'priority': 'High'}, {'title': 'Lighting faults', 'priority': 'High'}]",154150,2023-08-05,False,1,0,None,False,True,CR001,03/09/26 0000,False,None,None,None,inService,11:37 PM
KM019,Muttom,2027-10-23,2024-10-20,2026-09-01,0,[],138572,2025-01-23,False,4,0,None,True,False,,,True,Operational,Special Event Demand,Operations Manager,standby,None
KM020,Muttom,2024-11-18,2027-08-06,2026-01-17,3,"[{'title': 'CCTV fault', 'priority': 'Low'}, {'title': 'Emergency braking system fault', 'priority': 'High'}, {'title': 'HVAC failure', 'priority': 'Medium'}]",132327,2024-08-30,True,2,55,2026-05-06,True,True,CR014,01/01/26 0000,False,None,None,None,outOfService,None
KM021,Muttom,2024-08-12,2026-12-25,2024-10-13,4,"[{'title': 'HVAC failure', 'priority': 'Low'}, {'title': 'Passenger display malfunction', 'priority': 'Critical'}, {'title': 'Lighting faults', 'priority': 'High'}, {'title': 'Lighting faults', 'priority': 'Medium'}]",124536,2023-12-15,False,18,0,None,True,False,,,False,None,None,None,outOfService,None
KM022,Muttom,2025-12-13,2025-08-20,2024-09-21,3,"[{'title': 'Lighting faults', 'priority': 'Low'}, {'title': 'CCTV fault', 'priority': 'Low'}, {'title': 'Passenger display malfunction', 'priority': 'Medium'}]",131055,2023-07-20,True,6,175,2026-01-25,False,True,CR018,22/04/26 0000,False,None,None,None,inService,11:59 PM
KM023,Muttom,2026-10-25,2025-06-30,2026-10-19,4,"[{'title': 'Brake pad inspection', 'priority': 'High'}, {'title': 'HVAC failure', 'priority': 'Low'}, {'title': 'Pantograph wear', 'priority': 'Low'}, {'title': 'Brake pad inspection', 'priority': 'Low'}]",147234,2025-02-27,True,19,213,2026-03-15,False,True,CR015,13/09/26 0000,False,None,None,None,maintenance,None
KM024,Muttom,2026-07-03,2025-04-10,2025-03-29,5,"[{'title': 'Battery replacement', 'priority': 'High'}, {'title': 'Passenger display malfunction', 'priority': 'Critical'}, {'title': 'Brake pad inspection', 'priority': 'Medium'}, {'title': 'Door sensor fault', 'priority': 'Medium'}, {'title': 'Traction motor failure', 'priority': 'High'}]",130464,2025-02-11,True,8,127,2026-08-24,False,False,,,False,None,None,None,outOfService,None
KM025,Muttom,2026-10-27,2024-06-17,2026-05-27,6,"[{'title': 'Seat repairs', 'priority': 'High'}, {'title': 'Seat repairs', 'priority': 'Medium'}, {'title': 'Seat repairs', 'priority': 'Low'}, {'title': 'Passenger display malfunction', 'priority': 'High'}, {'title': 'Brake pad inspection', 'priority': 'High'}, {'title': 'Passenger display malfunction', 'priority': 'Critical'}]",125347,2023-09-11,False,17,0,None,True,True,CR023,28/07/26 0000,True,Maintenance,Pre-Emptive Maintenance,Control Room,standby,None
